Date Reported As Of,PID,Project Name,Description,Category,Borough,Managing Agency,Client Agency,Current Phase,Design Start,Budget Forecast,,Latest Budget Changes,,Total Budget Changes,Forecast Completion,Latest Schedule Changes,Total Schedule Changes,
01/01/16 00:00,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,12/21/2001,216539412,,1741363,,25233101.11,05/23/2016,188,1974,
06/01/16 00:00,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,12/21/2001,218544078.9,,2004667,,25233101.11,09/21/2016,121,1974,
11/01/16 00:00,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,12/21/2001,218126809.5,,-417269,,25233101.11,12/31/2017,466,1974,
04/01/17 00:00,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,12/21/2001,221435078.5,,3308269,,25233101.11,12/31/2017,0,1974,
09/01/17 00:00,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,12/21/2001,220461167.1,,-973911,,25233101.11,01/24/2018,24,1974,
03/01/18 00:00,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,12/21/2001,227360175.7,,6899009,,25233101.11,12/31/2018,341,1974,
08/01/18 00:00,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,12/21/2001,225713748.6,,-1646427,,25233101.11,12/31/2018,0,1974,
01/01/19 00:00,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,12/21/2001,223260404,,-2453345,,25233101.11,12/31/2019,365,1974,
05/01/19 00:00,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,12/21/2001,223333258,,72854,,25233101.11,12/31/2019,0,1974,
09/01/19 00:00,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,12/21/2001,223367168.1,,33910,,25233101.11,12/31/2019,0,1974,
